%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y-Y0	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny = 100 
%
% Date File Created: November 5, 2007
%
       X              Y-Y0           U              u'u'           v'v'           w'w'           u'v'
  5.07309E-01    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  5.07309E-01    7.50400E-05    9.89225E-04    3.51745E-07    8.95658E-12    1.29981E-07   -6.43134E-11
  5.07309E-01    1.55483E-04    2.05233E-03    2.23011E-06    5.41629E-11    8.08673E-07   -1.26825E-09
  5.07309E-01    2.41718E-04    3.19199E-03    4.24835E-06    1.02733E-10    1.53789E-06   -2.56243E-09
  5.07309E-01    3.34161E-04    4.41607E-03    7.64407E-06    2.55912E-10    2.73498E-06   -6.54305E-09
  5.07309E-01    4.33261E-04    5.73282E-03    1.36612E-05    6.15172E-10    4.81951E-06   -1.58129E-08
  5.07309E-01    5.39496E-04    7.14437E-03    2.01115E-05    1.00030E-09    7.05412E-06   -2.57505E-08
  5.07309E-01    6.53380E-04    8.65756E-03    2.70263E-05    1.41315E-09    9.44962E-06   -3.64038E-08
  5.07309E-01    7.75463E-04    1.02903E-02    3.98957E-05    3.34682E-09    1.36661E-05   -7.20123E-08
  5.07309E-01    9.06336E-04    1.20434E-02    5.51355E-05    5.81430E-09    1.86223E-05   -1.16586E-07
  5.07309E-01    1.04663E-03    1.39228E-02    7.14725E-05    8.45943E-09    2.39354E-05   -1.64370E-07
  5.07309E-01    1.19703E-03    1.59374E-02    8.89858E-05    1.12950E-08    2.96310E-05   -2.15595E-07
  5.07309E-01    1.35826E-03    1.81187E-02    1.19127E-04    2.24169E-08    3.86606E-05   -3.59852E-07
  5.07309E-01    1.53109E-03    2.04581E-02    1.52020E-04    3.47534E-08    4.84899E-05   -5.19072E-07
  5.07309E-01    1.71637E-03    2.29659E-02    1.87282E-04    4.79780E-08    5.90268E-05   -6.89757E-07
  5.07309E-01    1.91499E-03    2.56602E-02    2.28138E-04    6.66804E-08    7.09540E-05   -9.10815E-07
  5.07309E-01    2.12791E-03    2.85787E-02    2.88165E-04    1.10764E-07    8.70923E-05   -1.35002E-06
  5.07309E-01    2.35616E-03    3.17074E-02    3.52513E-04    1.58022E-07    1.04392E-04   -1.82085E-06
  5.07309E-01    2.60084E-03    3.50614E-02    4.21494E-04    2.08682E-07    1.22938E-04   -2.32558E-06
  5.07309E-01    2.86314E-03    3.86866E-02    5.12101E-04    3.06740E-07    1.45395E-04   -3.17169E-06
  5.07309E-01    3.14433E-03    4.25952E-02    6.21784E-04    4.44831E-07    1.71410E-04   -4.30862E-06
  5.07309E-01    3.44576E-03    4.67852E-02    7.39364E-04    5.92864E-07    1.99298E-04   -5.52741E-06
  5.07309E-01    3.76889E-03    5.12938E-02    8.75425E-04    7.93169E-07    2.30251E-04   -7.08887E-06
  5.07309E-01    4.11529E-03    5.61799E-02    1.05283E-03    1.13900E-06    2.66757E-04   -9.56577E-06
  5.07309E-01    4.48664E-03    6.14177E-02    1.24300E-03    1.50973E-06    3.05892E-04   -1.22210E-05
  5.07309E-01    4.88471E-03    6.70466E-02    1.45602E-03    1.96316E-06    3.48405E-04   -1.53798E-05
  5.07309E-01    5.31145E-03    7.31496E-02    1.73025E-03    2.73002E-06    3.96783E-04   -2.03316E-05
  5.07309E-01    5.76892E-03    7.96921E-02    2.02423E-03    3.55210E-06    4.48643E-04   -2.56400E-05
