%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y1-Y	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny =  129
%
% Date File Created: November 5, 2007
%
       X              Y1-Y           U              u'u'           v'v'           w'w'          u'v'
  5.07309E-01    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  5.07309E-01    7.53403E-05    1.51229E-03    3.28122E-07    2.25548E-12    1.31064E-07   -5.73222E-11
  5.07309E-01    3.01123E-04    6.04342E-03    5.24365E-06    4.80617E-11    2.05352E-06   -3.97691E-09
  5.07309E-01    6.77466E-04    1.35774E-02    2.64978E-05    1.18333E-09    1.00416E-05   -4.55263E-08
  5.07309E-01    1.20437E-03    2.40875E-02    8.35560E-05    1.11497E-08    3.02481E-05   -2.58055E-07
  5.07309E-01    1.88160E-03    3.75351E-02    2.03444E-04    6.17931E-08    6.94795E-05   -9.92733E-07
  5.07309E-01    2.70927E-03    5.38679E-02    4.20415E-04    2.43430E-07    1.33866E-04   -2.98702E-06
  5.07309E-01    3.68690E-03    7.30146E-02    7.74999E-04    7.54679E-07    2.27679E-04   -7.56176E-06
  5.07309E-01    4.81474E-03    9.48759E-02    1.31158E-03    1.95777E-06    3.52494E-04   -1.68057E-05
  5.07309E-01    6.09231E-03    1.19311E-01    2.07355E-03    4.42281E-06    5.06855E-04   -3.36519E-05
  5.07309E-01    7.51948E-03    1.46121E-01    3.09557E-03    8.94632E-06    6.86481E-04   -6.17657E-05
  5.07309E-01    9.09626E-03    1.75031E-01    4.39374E-03    1.65337E-05    8.84982E-04   -1.05156E-04
  5.07309E-01    1.08222E-02    2.05680E-01    5.95577E-03    2.83468E-05    1.09496E-03   -1.67528E-04
  5.07309E-01    1.26971E-02    2.37620E-01    7.73450E-03    4.56190E-05    1.30928E-03   -2.51425E-04
  5.07309E-01    1.47206E-02    2.70332E-01    9.64877E-03    6.95503E-05    1.52214E-03   -3.57439E-04
  5.07309E-01    1.68926E-02    3.03265E-01    1.15945E-02    1.01205E-04    1.72963E-03   -4.83760E-04
  5.07309E-01    1.92124E-02    3.35876E-01    1.34633E-02    1.41431E-04    1.93006E-03   -6.26355E-04
  5.07309E-01    2.16800E-02    3.67681E-01    1.51619E-02    1.90804E-04    2.12370E-03   -7.79721E-04
  5.07309E-01    2.42950E-02    3.98286E-01    1.66234E-02    2.49603E-04    2.31151E-03   -9.37984E-04
  5.07309E-01    2.70567E-02    4.27396E-01    1.78111E-02    3.17845E-04    2.49390E-03   -1.09567E-03
  5.07309E-01    2.99650E-02    4.54816E-01    1.87156E-02    3.95351E-04    2.67013E-03   -1.24810E-03
  5.07309E-01    3.30195E-02    4.80433E-01    1.93465E-02    4.81724E-04    2.83835E-03   -1.39167E-03
  5.07309E-01    3.62195E-02    5.04204E-01    1.97212E-02    5.76299E-04    2.99590E-03   -1.52418E-03
  5.07309E-01    3.95646E-02    5.26150E-01    1.98604E-02    6.78210E-04    3.14028E-03   -1.64427E-03
  5.07309E-01    4.30543E-02    5.46341E-01    1.97899E-02    7.86493E-04    3.27048E-03   -1.75048E-03
