%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%  X	: Streamwise coordinates
%  Y0	: Normal coordinates of the lower wall
%  Y1	: Normal coordinates of the upper wall 
%  Utau0: Friction velocity at the lower wall
%  Utau1: Friction velocity at the upper wall
%  Cp0	: Pressure coefficient at the lower wall
%  Cp1	: Pressure coefficient at the upper wall
%  Cf0	: Skin friction coefficient at the lower wall
%  Cf1	: Skin friction coefficient at the upper wall
%
%  Y1 =  2
%  Re =  7900
%  Uo =  max(U(x=0,y)) = 1.03367
%  Po =  P(x=12,y=1)
%  Cf = (1/Re*(dU/dy))/(0.5*Uo^2)
%  Cp = (P-Po)/(0.5*Uo^2)
%  Nx = 1536
%
% Date File Created: November 5, 2007
%
%         X           Y0           Utau0          Utau1           Cp0           Cp1             Cf0             Cf1
  0.00000E+00    0.00000E+00    5.01236E-02    5.00622E-02    2.36716E-01    9.14788E-02    4.70271E-03    4.69119E-03
  8.18241E-03    0.00000E+00    4.87883E-02    4.87578E-02    2.34655E-01    8.94245E-02    4.45548E-03    4.44992E-03
  1.63648E-02    0.00000E+00    4.81458E-02    4.81317E-02    2.34297E-01    8.90715E-02    4.33891E-03    4.33637E-03
  2.45472E-02    0.00000E+00    4.78614E-02    4.78835E-02    2.34086E-01    8.88630E-02    4.28780E-03    4.29176E-03
  3.27296E-02    0.00000E+00    4.76356E-02    4.76949E-02    2.33922E-01    8.86903E-02    4.24744E-03    4.25803E-03
  4.09121E-02    0.00000E+00    4.74487E-02    4.75631E-02    2.33804E-01    8.85618E-02    4.21417E-03    4.23452E-03
  4.90945E-02    0.00000E+00    4.73032E-02    4.74717E-02    2.33709E-01    8.84399E-02    4.18837E-03    4.21826E-03
  5.72769E-02    0.00000E+00    4.71644E-02    4.74035E-02    2.33640E-01    8.83432E-02    4.16383E-03    4.20615E-03
  6.54593E-02    0.00000E+00    4.70538E-02    4.73606E-02    2.33588E-01    8.82436E-02    4.14431E-03    4.19854E-03
  7.36417E-02    0.00000E+00    4.69401E-02    4.73307E-02    2.33550E-01    8.81602E-02    4.12431E-03    4.19324E-03
  8.18241E-02    0.00000E+00    4.68477E-02    4.73178E-02    2.33529E-01    8.80696E-02    4.10810E-03    4.19096E-03
